feature_name,page_rank,Probe,Gene_x,QTL reference,"SMR, P",gene_symbol,BETA_diff_exp,SE_diff_exp,P_diff_exp,Gene_y,"N variants, MAF < 5%","Q, MAF < 5%","Rho, MAF < 5%","P, MAF < 5%","N variants, MAF < 1%","Q, MAF < 1%","Rho, MAF < 1%","P, MAF < 1%","Bonferroni corrected P, MAF < 5%","Bonferroni corrected P, MAF < 1%",Passing Bonferroni correction
ENSG00000116667,0.008678606286520488,,,,,C1orf21,0.6538059948849464,0.15210308355990906,1.7200436501293184e-05,,,,,,,,,,,,
ENSG00000089159,0.008638534625628188,,,,,PXN,1.3749892607383114,0.3271056909048294,2.6281741540850898e-05,,,,,,,,,,,,
ENSG00000179361,0.008215945990471471,,,,,ARID3B,2.8298077028759376,0.5067458126244595,2.346778375444235e-08,,,,,,,,,,,,
ENSG00000115816,0.007995563268326155,,,,,CEBPZ,1.4150592043603751,0.3635093029776267,9.910487167968165e-05,,,,,,,,,,,,
ENSG00000107625,0.0077184269691264705,,,,,DDX50,1.6125707274255168,0.4941021830597015,0.0010999155084464528,,,,,,,,,,,,
ENSG00000198792,0.007519827029961699,,,,,TMEM184B,1.3328598325422645,0.3891585057230561,0.0006148462294804135,,,,,,,,,,,,
ENSG00000179021,0.007433610365391631,,,,,C3orf38,-1.439210093212001,0.5154582050167654,0.005236740832666168,,,,,,,,,,,,
ENSG00000126261,0.007210834197732802,,,,,UBA2,1.7574975640194144,0.5501404705150155,0.0014000817315218187,,,,,,,,,,,,
ENSG00000141446,0.007033671853516542,,,,,ESCO1,0.983434888819524,0.3448309641794793,0.004345422587486628,,,,,,,,,,,,
ENSG00000139722,0.0065867178794831215,,,,,VPS37B,1.1293996679418254,0.409268664996945,0.005788002339445549,,,,,,,,,,,,
ENSG00000067334,0.006545543954434444,,,,,DNTTIP2,1.3601464982774634,0.3302646205876024,3.815888230124005e-05,,,,,,,,,,,,
ENSG00000170871,0.006532883305141564,,,,,KIAA0232,1.5138988211487123,0.5324905057453351,0.004468361519056111,,,,,,,,,,,,
ENSG00000111596,0.006478950214469152,,,,,CNOT2,-2.2617605683820865,0.6140948956263539,0.0002304328915475234,,,,,,,,,,,,
ENSG00000172795,0.006476618987215171,,,,,DCP2,1.2963795901313764,0.4540711806756728,0.0043034928173841394,,,,,,,,,,,,
ENSG00000106591,0.00636523483827136,,,,,MRPL32,-1.2519347452488974,0.4767872732704901,0.008645266588736308,,,,,,,,,,,,
ENSG00000104853,0.006303953899361249,,,,,CLPTM1,1.372585157267321,0.4667583602542472,0.0032749678025169263,,,,,,,,,,,,
ENSG00000140006,0.006294839917522656,,,,,WDR89,1.3930091398180708,0.4019883624426657,0.0005296458521458476,,,,,,,,,,,,
ENSG00000172086,0.006191308886573772,,,,,KRCC1,1.2245485298937893,0.399183124934577,0.0021575924716844006,,,,,,,,,,,,
ENSG00000197324,0.006151272407825515,,,,,LRP10,1.4298323534418658,0.33111801950931274,1.5731003643683593e-05,,,,,,,,,,,,
ENSG00000196588,0.006140516971044938,,,,,MRTFA,-1.4926446715953734,0.5453997131601654,0.006204181822151603,,,,,,,,,,,,
ENSG00000125870,0.006026638966083567,,,,,SNRPB2,1.4862586104755402,0.4476508604118771,0.0008997585655383992,,,,,,,,,,,,
ENSG00000225828,0.005964085007694743,,,,,FAM229A,1.989594343464009,0.4732316128170711,2.619239960487103e-05,,,,,,,,,,,,
ENSG00000062194,0.005957666843296655,,,,,GPBP1,1.8464460226172612,0.4546264648716435,4.876731673373836e-05,,,,,,,,,,,,
ENSG00000112200,0.005930786224661667,,,,,ZNF451,-1.5909405387602584,0.5891995095925223,0.006930345232023237,,,,,,,,,,,,
ENSG00000122008,0.005717807297307536,,,,,POLK,-1.2105847470123026,0.44778006302355455,0.0068608216604900355,,,,,,,,,,,,
ENSG00000116161,0.005648688647720753,,,,,CACYBP,1.3714453854158066,0.4848890129856101,0.004678574445214864,,,,,,,,,,,,
ENSG00000167566,0.005639735145862884,,,,,NCKAP5L,-1.1057667484471847,0.3875081005599101,0.004323617909899316,,,,,,,,,,,,
ENSG00000108349,0.005548620697439975,,,,,CASC3,2.072110769706352,0.4188452783671863,7.52891560872063e-07,,,,,,,,,,,,
ENSG00000141526,0.005370855248582824,,,,,SLC16A3,-0.915381147760878,0.3069750999109808,0.002864286814592944,,,,,,,,,,,,
ENSG00000105708,0.005364008816226355,,,,,ZNF14,1.5908828926511072,0.41847389723092293,0.00014374732337605798,,,,,,,,,,,,
ENSG00000171806,0.005154658323420914,,,,,METTL18,1.3501570064815938,0.316491731697758,1.9899954253509507e-05,,,,,,,,,,,,
ENSG00000214367,0.0051450675804428974,,,,,HAUS3,1.3760750321035913,0.5218114553665254,0.008361532257396545,,,,,,,,,,,,
ENSG00000164609,0.005098852813084704,,,,,SLU7,1.7202613969861833,0.4142226509225754,3.281629983660319e-05,,,,,,,,,,,,
ENSG00000147604,0.005052091405785087,,,,,RPL7,0.4358661958708064,0.13547122471511136,0.0012935452593006154,,,,,,,,,,,,
ENSG00000197050,0.005050125837316086,,,,,ZNF420,1.3072535044297209,0.5059130879376057,0.009767629997782978,,,,,,,,,,,,
ENSG00000119616,0.005039009642577228,ENSG00000119616,FCF1,Võsa et al. 2018 - blood expression,3.64e-07,FCF1,2.042289159723084,0.472103535173611,1.518862778862218e-05,,,,,,,,,,,,
ENSG00000124782,0.005021612443269461,,,,,RREB1,-2.146413807701718,0.569136604998898,0.00016236620786213101,,,,,,,,,,,,
ENSG00000171202,0.004971001617363655,,,,,TMEM126A,1.41485087716016,0.4993430873706159,0.004605220266643506,,,,,,,,,,,,
ENSG00000089289,0.004959084554014972,,,,,IGBP1,1.6894118886243803,0.4415528137328673,0.0001302053813906757,,,,,,,,,,,,
ENSG00000165813,0.004927141888025515,,,,,CCDC186,0.9661330029973478,0.34989818172699044,0.005759234948342647,,,,,,,,,,,,
ENSG00000132330,0.004878613981251872,,,,,SCLY,1.4043296953151292,0.5323760843944211,0.00834328119783752,,,,,,,,,,,,
ENSG00000106443,0.0048235584601547185,,,,,PHF14,-1.1358336563235836,0.4178726566196129,0.006565134817271506,,,,,,,,,,,,
ENSG00000175115,0.004822609380024808,,,,,PACS1,1.4849778668841236,0.5148629622492624,0.003923849753672908,,,,,,,,,,,,
ENSG00000117569,0.004795591528033917,,,,,PTBP2,-1.0273546426188842,0.3813926313401363,0.007066523034948868,,,,,,,,,,,,
ENSG00000050130,0.004785477483086158,,,,,JKAMP,-1.6812132793592445,0.6268473352076286,0.007318041444485736,,,,,,,,,,,,
