Dataset,Algorithm,Maximize,AUC_Percent,Accuracy_Percent,Balanced_Accuracy_Percent,Log_Loss,Sensitivity,Specificity,PPV,NPV,Runtime_Seconds
Genetics (1E-5),LogisticRegression,AUC,67.32271635,71.66666667,61.80889423,1.610163374,0.8515625,0.3846153846,0.7730496454,0.5128205128,0.208997488
,RandomForestClassifier,AUC,58.59375,71.11111111,50,0.5929299555,1,0,0.7111111111,,0.6038103104
,AdaBoostClassifier,AUC,55.88942308,63.33333333,52.52403846,0.6791256136,0.78125,0.2692307692,0.7246376812,0.3333333333,0.6574888229
,GradientBoostingClassifier,AUC,56.86598558,67.22222222,48.97836538,0.6805827431,0.921875,0.05769230769,0.7065868263,0.2307692308,2.607443094
,SGDClassifier,AUC,59.13461538,71.11111111,59.13461538,9.977868736,0.875,0.3076923077,0.7567567568,0.5,0.03032112122
,SVC,AUC,75.27043269,71.66666667,50.96153846,0.5182865663,1,0.01923076923,0.7150837989,1,0.4030971527
,MLPClassifier,AUC,70.65805288,70,60.63701923,0.828791934,0.828125,0.3846153846,0.768115942,0.4761904762,0.8436832428
,KNeighborsClassifier,AUC,55.71664663,68.88888889,50.15024038,3.666892852,0.9453125,0.05769230769,0.7117647059,0.3,0.1676301956
,LinearDiscriminantAnalysis,AUC,68.70492788,71.11111111,65.98557692,1.574150885,0.78125,0.5384615385,0.8064516129,0.5,0.1703720093
,QuadraticDiscriminantAnalysis,AUC,50,71.11111111,50,9.977868736,1,0,0.7111111111,,0.1703662872
,BaggingClassifier,AUC,53.4780649,63.33333333,50.81129808,1.358249381,0.8046875,0.2115384615,0.7152777778,0.3055555556,0.5559141636
,XGBClassifier,AUC,57.30168269,70.55555556,54.74759615,0.8153475206,0.921875,0.1730769231,0.7329192547,0.4736842105,0.235612154
Clinicodemographics,LogisticRegression,AUC,87.52253606,79.44444444,75.27043269,0.3879760455,0.8515625,0.6538461538,0.8582677165,0.641509434,0.05701732635
,RandomForestClassifier,AUC,85.92998798,81.11111111,75.87139423,0.594864809,0.8828125,0.6346153846,0.8560606061,0.6875,0.2782087326
,AdaBoostClassifier,AUC,86.05018029,76.11111111,70.64302885,0.6602084576,0.8359375,0.5769230769,0.8294573643,0.5882352941,0.1619691849
,GradientBoostingClassifier,AUC,84.98347356,77.22222222,71.42427885,0.4396919691,0.8515625,0.5769230769,0.8320610687,0.612244898,0.1329374313
,SGDClassifier,AUC,82.4594351,78.88888889,77.734375,5.118147738,0.8046875,0.75,0.8879310345,0.609375,0.01759409904
,SVC,AUC,86.47085337,82.22222222,79.50721154,0.4064022469,0.859375,0.7307692308,0.8870967742,0.6785714286,0.0642721653
,MLPClassifier,AUC,87.42487981,82.22222222,80.64903846,0.3949584636,0.84375,0.7692307692,0.9,0.6666666667,0.6583406925
,KNeighborsClassifier,AUC,82.59465144,78.88888889,74.30889423,1.125881498,0.8515625,0.6346153846,0.8515625,0.6346153846,0.06378388405
,LinearDiscriminantAnalysis,AUC,87.31219952,81.11111111,78.15504808,0.3961039435,0.8515625,0.7115384615,0.8790322581,0.6607142857,0.1965427399
,QuadraticDiscriminantAnalysis,AUC,85.17878606,80,80.79927885,0.5624414942,0.7890625,0.8269230769,0.9181818182,0.6142857143,0.1309828758
,BaggingClassifier,AUC,81.52794471,77.22222222,73.70793269,1.522410241,0.8203125,0.6538461538,0.8536585366,0.5964912281,0.04762482643
,XGBClassifier,AUC,85.53936298,78.33333333,70.49278846,0.519291765,0.890625,0.5192307692,0.8201438849,0.6585365854,0.1478750706
Transcriptomics (1E-2),LogisticRegression,AUC,74.12369528,71.66666667,62.64994547,1.064754378,0.8244274809,0.4285714286,0.7941176471,0.4772727273,0.7823822498
,RandomForestClassifier,AUC,68.61660695,72.22222222,50.25704938,0.5490804507,0.9847328244,0.02040816327,0.7288135593,0.3333333333,0.8175799847
,AdaBoostClassifier,AUC,67.22230877,70,55.75634834,0.6681214802,0.8702290076,0.2448979592,0.7549668874,0.4137931034,1.774313688
,GradientBoostingClassifier,AUC,66.83284001,72.22222222,54.7281508,0.6211367547,0.9312977099,0.1632653061,0.7484662577,0.4705882353,8.01575613
,SGDClassifier,AUC,64.18445241,71.11111111,64.18445241,9.977868736,0.7938931298,0.4897959184,0.8062015504,0.4705882353,0.0659506321
,SVC,AUC,79.73204549,73.88888889,54.59573142,0.4804943251,0.9694656489,0.1224489796,0.7470588235,0.6,1.340692997
,MLPClassifier,AUC,75.74388534,72.77777778,64.6907618,0.7655047285,0.8244274809,0.4693877551,0.8059701493,0.5,1.15162158
