Algorithm,AUC_Percent,Accuracy_Percent,Balanced_Accuracy_Percent,Log_Loss,Sensitivity,Specificity,PPV,NPV,Runtime_Seconds
LogisticRegression,87.5225360576923,79.44444444444444,75.2704326923077,0.38797604554311954,0.8515625,0.6538461538461539,0.8582677165354331,0.6415094339622641,0.05701732635498047
RandomForestClassifier,85.92998798076924,81.11111111111111,75.87139423076923,0.5948648089565497,0.8828125,0.6346153846153846,0.8560606060606061,0.6875,0.27820873260498047
AdaBoostClassifier,86.05018028846153,76.11111111111111,70.64302884615384,0.6602084576307703,0.8359375,0.5769230769230769,0.8294573643410853,0.5882352941176471,0.16196918487548828
GradientBoostingClassifier,84.9834735576923,77.22222222222223,71.42427884615384,0.4396919690930043,0.8515625,0.5769230769230769,0.8320610687022901,0.6122448979591837,0.13293743133544922
SGDClassifier,82.45943509615384,78.88888888888889,77.734375,5.118147737690635,0.8046875,0.75,0.8879310344827587,0.609375,0.017594099044799805
SVC,86.47085336538461,82.22222222222221,79.50721153846155,0.4064022468994621,0.859375,0.7307692307692307,0.8870967741935484,0.6785714285714286,0.06427216529846191
MLPClassifier,87.4248798076923,82.22222222222221,80.64903846153845,0.39495846363255693,0.84375,0.7692307692307693,0.9,0.6666666666666666,0.6583406925201416
KNeighborsClassifier,82.5946514423077,78.88888888888889,74.30889423076923,1.1258814979108132,0.8515625,0.6346153846153846,0.8515625,0.6346153846153846,0.06378388404846191
LinearDiscriminantAnalysis,87.31219951923077,81.11111111111111,78.15504807692308,0.3961039434965041,0.8515625,0.7115384615384616,0.8790322580645161,0.6607142857142857,0.19654273986816406
QuadraticDiscriminantAnalysis,85.1787860576923,80.0,80.79927884615384,0.5624414941532684,0.7890625,0.8269230769230769,0.9181818181818182,0.6142857142857143,0.1309828758239746
BaggingClassifier,81.52794471153845,77.22222222222223,73.7079326923077,1.5224102406167617,0.8203125,0.6538461538461539,0.8536585365853658,0.5964912280701754,0.047624826431274414
XGBClassifier,85.53936298076923,78.33333333333333,70.49278846153845,0.5192917650075994,0.890625,0.5192307692307693,0.8201438848920863,0.6585365853658537,0.14787507057189941
