Model_Rank,Mean_Validation_Score,Mean_Standard_Deviation,Parameters
1,0.8854658749956892,0.0219616462475611,"{'C': 4, 'penalty': 'l2'}"
2,0.885394693581947,0.02207187931714456,"{'C': 3, 'penalty': 'l2'}"
2,0.885394693581947,0.02207187931714456,"{'C': 3, 'penalty': 'l2'}"
4,0.8851265907183666,0.022071335640849763,"{'C': 7, 'penalty': 'l2'}"
4,0.8851265907183666,0.022071335640849763,"{'C': 7, 'penalty': 'l2'}"
4,0.8851265907183666,0.022071335640849763,"{'C': 7, 'penalty': 'l2'}"
4,0.8851265907183666,0.022071335640849763,"{'C': 7, 'penalty': 'l2'}"
4,0.8851265907183666,0.022071335640849763,"{'C': 7, 'penalty': 'l2'}"
4,0.8851265907183666,0.022071335640849763,"{'C': 7, 'penalty': 'l2'}"
10,0.885125786018922,0.022173080021783517,"{'C': 5, 'penalty': 'l2'}"
10,0.885125786018922,0.022173080021783517,"{'C': 5, 'penalty': 'l2'}"
10,0.885125786018922,0.022173080021783517,"{'C': 5, 'penalty': 'l2'}"
10,0.885125786018922,0.022173080021783517,"{'C': 5, 'penalty': 'l2'}"
