Algorithm,AUC_Percent,Accuracy_Percent,Balanced_Accuracy_Percent,Log_Loss,Sensitivity,Specificity,PPV,NPV,Runtime_Seconds
LogisticRegression,67.32271634615384,71.66666666666667,61.808894230769226,1.6101633737492353,0.8515625,0.38461538461538464,0.7730496453900709,0.5128205128205128,0.20899748802185059
RandomForestClassifier,58.593750000000014,71.11111111111111,50.0,0.5929299554539154,1.0,0.0,0.7111111111111111,,0.6038103103637695
AdaBoostClassifier,55.88942307692307,63.33333333333333,52.52403846153846,0.6791256136159188,0.78125,0.2692307692307692,0.7246376811594203,0.3333333333333333,0.6574888229370117
GradientBoostingClassifier,56.86598557692308,67.22222222222223,48.97836538461539,0.6805827430926021,0.921875,0.057692307692307696,0.7065868263473054,0.23076923076923078,2.60744309425354
SGDClassifier,59.13461538461539,71.11111111111111,59.13461538461539,9.977868736307531,0.875,0.3076923076923077,0.7567567567567568,0.5,0.030321121215820312
SVC,75.2704326923077,71.66666666666667,50.96153846153846,0.5182865663360977,1.0,0.019230769230769232,0.7150837988826816,1.0,0.40309715270996094
MLPClassifier,70.65805288461539,70.0,60.637019230769226,0.8287919340163279,0.828125,0.38461538461538464,0.7681159420289855,0.47619047619047616,0.8436832427978516
KNeighborsClassifier,55.71664663461539,68.88888888888889,50.15024038461539,3.666892852298263,0.9453125,0.057692307692307696,0.711764705882353,0.3,0.16763019561767578
LinearDiscriminantAnalysis,68.70492788461537,71.11111111111111,65.98557692307692,1.5741508845171412,0.78125,0.5384615384615384,0.8064516129032258,0.5,0.17037200927734375
QuadraticDiscriminantAnalysis,50.0,71.11111111111111,50.0,9.977868736307531,1.0,0.0,0.7111111111111111,,0.1703662872314453
BaggingClassifier,53.47806490384615,63.33333333333333,50.81129807692307,1.358249380595465,0.8046875,0.21153846153846154,0.7152777777777778,0.3055555555555556,0.5559141635894775
XGBClassifier,57.3016826923077,70.55555555555556,54.74759615384615,0.8153475205514243,0.921875,0.17307692307692307,0.7329192546583851,0.47368421052631576,0.235612154006958
