Model_Rank,Mean_Validation_Score,Mean_Standard_Deviation,Parameters
1,0.7137275517594178,0.06178815773154488,"{'alpha': 0.14769985292022558, 'learning_rate': 'constant'}"
2,0.7124444240076332,0.05223373429991882,"{'alpha': 0.8885282084975721, 'learning_rate': 'invscaling'}"
3,0.7119787789260712,0.05742690705860984,"{'alpha': 0.4464387056592054, 'learning_rate': 'invscaling'}"
4,0.7115542194990171,0.05126225317172875,"{'alpha': 0.7127482139886767, 'learning_rate': 'constant'}"
5,0.7113624251342123,0.05003489124117385,"{'alpha': 0.4823992559028695, 'learning_rate': 'invscaling'}"
6,0.7111033119130005,0.054454551705777086,"{'alpha': 0.16314988206080805, 'learning_rate': 'invscaling'}"
7,0.7109585349871823,0.05126391478901137,"{'alpha': 0.8385544943260834, 'learning_rate': 'invscaling'}"
8,0.710286909839175,0.05721094641034138,"{'alpha': 0.10975827626026058, 'learning_rate': 'invscaling'}"
9,0.7102296842129465,0.05699257841938387,"{'alpha': 0.37440084707746457, 'learning_rate': 'invscaling'}"
10,0.7101260619158744,0.06186669482560804,"{'alpha': 0.6866891603285116, 'learning_rate': 'constant'}"
