Model_Rank,Mean_Validation_Score,Mean_Standard_Deviation,Parameters
1,0.7901451677798342,0.04706853411487518,"{'C': 2, 'kernel': 'rbf'}"
2,0.7900421662509053,0.04715248804319347,"{'C': 2, 'kernel': 'rbf'}"
3,0.7899737667981009,0.04717703039856926,"{'C': 2, 'kernel': 'rbf'}"
4,0.7869432456977319,0.04652509114885115,"{'C': 3, 'kernel': 'rbf'}"
5,0.7868398418190805,0.04645874049730153,"{'C': 3, 'kernel': 'rbf'}"
6,0.7863209141385694,0.04678728187801494,"{'C': 6, 'kernel': 'rbf'}"
6,0.7863209141385694,0.04678728187801494,"{'C': 4, 'kernel': 'rbf'}"
8,0.7862863120624448,0.04684691228053391,"{'C': 4, 'kernel': 'rbf'}"
8,0.7862863120624448,0.04684691228053391,"{'C': 9, 'kernel': 'rbf'}"
10,0.7862521123360425,0.04685921962995672,"{'C': 8, 'kernel': 'rbf'}"
