Algorithm,AUC_Percent,Accuracy_Percent,Balanced_Accuracy_Percent,Log_Loss,Sensitivity,Specificity,PPV,NPV,Runtime_Seconds
LogisticRegression,84.87303318273874,77.77777777777779,62.3773173391494,0.5658773307397125,0.9618320610687023,0.2857142857142857,0.782608695652174,0.7368421052631579,0.14022278785705566
RandomForestClassifier,67.92335254712572,72.77777777777777,50.63872877395232,0.5545321179198024,0.9923664122137404,0.02040816326530612,0.7303370786516854,0.5,1.6640613079071045
AdaBoostClassifier,84.06293815236018,77.77777777777779,66.8484187568157,0.6384377333474573,0.9083969465648855,0.42857142857142855,0.8095238095238095,0.6363636363636364,7.3305394649505615
GradientBoostingClassifier,84.125253154697,79.44444444444444,68.63218569870696,0.4504566514929585,0.9236641221374046,0.4489795918367347,0.8175675675675675,0.6875,31.749555587768555
SGDClassifier,71.98940644960274,66.66666666666666,71.98940644960274,11.512925464970229,0.6030534351145038,0.8367346938775511,0.9080459770114943,0.44086021505376344,0.11759662628173828
SVC,90.27885963545724,72.77777777777777,50.0,0.34533852070627935,1.0,0.0,0.7277777777777777,,1.964583396911621
MLPClassifier,78.00280417510515,76.11111111111111,66.98083813678143,0.5087184616905988,0.8702290076335878,0.46938775510204084,0.8142857142857143,0.575,1.1862866878509521
KNeighborsClassifier,58.202212182582954,72.77777777777777,50.0,6.677814146710471,1.0,0.0,0.7277777777777777,,0.21674895286560059
LinearDiscriminantAnalysis,53.85574076959028,65.0,52.321233837046265,0.8274402152857456,0.8015267175572519,0.24489795918367346,0.7394366197183099,0.3157894736842105,0.5731501579284668
QuadraticDiscriminantAnalysis,44.983642311886584,39.44444444444444,44.983642311886584,20.91514792802925,0.3282442748091603,0.5714285714285714,0.671875,0.2413793103448276,0.3938722610473633
BaggingClassifier,85.14566131796231,79.44444444444444,72.46455834242094,0.7606102005842482,0.8778625954198473,0.5714285714285714,0.8455882352941176,0.6363636363636364,4.368401765823364
XGBClassifier,86.16606948122761,83.33333333333334,74.49758529365944,0.45444813373906073,0.9389312977099237,0.5510204081632653,0.8482758620689655,0.7714285714285715,2.3127260208129883
