Model_Rank,Mean_Validation_Score,Mean_Standard_Deviation,Parameters
1,0.9017288162871168,0.016441397285677863,{'n_estimators': 551}
2,0.9009683753118211,0.015930329829670794,{'n_estimators': 583}
3,0.8993790939084253,0.01901221978314358,{'n_estimators': 611}
4,0.8991609743760705,0.022871493715912072,{'n_estimators': 723}
5,0.8989881019439239,0.02251455780755331,{'n_estimators': 456}
6,0.8986060996217914,0.02224415279110403,{'n_estimators': 725}
7,0.8984974651967489,0.02302843548025374,{'n_estimators': 667}
8,0.8983156031222338,0.018797088976069617,{'n_estimators': 927}
9,0.8982451574336985,0.019071956291825138,{'n_estimators': 937}
10,0.8977301497890539,0.0242346470538855,{'n_estimators': 715}
